Watching for file changes with StatReloader
Not Found: /fonts/hkgrotesk-bold-webfont.woff2
Not Found: /fonts/hkgrotesk-light-webfont.woff2
Not Found: /fonts/hkgrotesk-bold-webfont.woff
Not Found: /fonts/hkgrotesk-light-webfont.woff
Not Found: /error/9/
C:\Users\gtuleshkova\PycharmProjects\SoftUni\djangoProjects\art_project\art_project\settings.py changed, reloading.
Not Found: /error/9/
2022-04-07 14:23:01,928 [CRITICAL] middlewares 2184 30336 Critical: On.Art error
2022-04-07 14:23:01,928 [ERROR] middlewares 2184 30336 Error: On.Art error
2022-04-07 14:23:01,928 [WARNING] middlewares 2184 30336 Warning: On.Art error
2022-04-07 14:23:01,943 [CRITICAL] middlewares 2184 36888 Critical: On.Art error
2022-04-07 14:23:01,943 [ERROR] middlewares 2184 36888 Error: On.Art error
2022-04-07 14:23:01,943 [WARNING] middlewares 2184 36888 Warning: On.Art error
2022-04-07 14:23:02,043 [CRITICAL] middlewares 2184 36296 Critical: On.Art error
2022-04-07 14:23:02,043 [ERROR] middlewares 2184 36296 Error: On.Art error
2022-04-07 14:23:02,043 [WARNING] middlewares 2184 36296 Warning: On.Art error
2022-04-07 14:23:05,473 [CRITICAL] middlewares 2184 36888 Critical: On.Art error
2022-04-07 14:23:05,473 [ERROR] middlewares 2184 36888 Error: On.Art error
2022-04-07 14:23:05,473 [CRITICAL] middlewares 2184 36296 Critical: On.Art error
2022-04-07 14:23:05,473 [WARNING] middlewares 2184 36888 Warning: On.Art error
2022-04-07 14:23:05,473 [ERROR] middlewares 2184 36296 Error: On.Art error
2022-04-07 14:23:05,473 [WARNING] middlewares 2184 36296 Warning: On.Art error
2022-04-07 14:23:05,473 [CRITICAL] middlewares 2184 30336 Critical: On.Art error
2022-04-07 14:23:05,473 [ERROR] middlewares 2184 30336 Error: On.Art error
2022-04-07 14:23:05,473 [WARNING] middlewares 2184 30336 Warning: On.Art error
2022-04-07 14:23:05,673 [CRITICAL] middlewares 2184 30336 Critical: On.Art error
2022-04-07 14:23:05,673 [ERROR] middlewares 2184 30336 Error: On.Art error
2022-04-07 14:23:05,673 [WARNING] middlewares 2184 30336 Warning: On.Art error
2022-04-07 14:23:05,758 [CRITICAL] middlewares 2184 36888 Critical: On.Art error
2022-04-07 14:23:05,774 [ERROR] middlewares 2184 36888 Error: On.Art error
2022-04-07 14:23:05,774 [WARNING] middlewares 2184 36888 Warning: On.Art error
2022-04-07 14:23:05,774 [CRITICAL] middlewares 2184 36296 Critical: On.Art error
2022-04-07 14:23:05,774 [ERROR] middlewares 2184 36296 Error: On.Art error
2022-04-07 14:23:05,774 [WARNING] middlewares 2184 36296 Warning: On.Art error
2022-04-07 14:23:06,884 [CRITICAL] middlewares 2184 36296 Critical: On.Art error
2022-04-07 14:23:06,891 [CRITICAL] middlewares 2184 36888 Critical: On.Art error
2022-04-07 14:23:06,891 [ERROR] middlewares 2184 36296 Error: On.Art error
2022-04-07 14:23:06,891 [ERROR] middlewares 2184 36888 Error: On.Art error
2022-04-07 14:23:06,891 [WARNING] middlewares 2184 36296 Warning: On.Art error
2022-04-07 14:23:06,891 [WARNING] middlewares 2184 36888 Warning: On.Art error
2022-04-07 14:23:06,891 [CRITICAL] middlewares 2184 30336 Critical: On.Art error
2022-04-07 14:23:06,891 [ERROR] middlewares 2184 30336 Error: On.Art error
2022-04-07 14:23:06,891 [WARNING] middlewares 2184 30336 Warning: On.Art error
2022-04-07 14:23:07,091 [CRITICAL] middlewares 2184 36888 Critical: On.Art error
2022-04-07 14:23:07,091 [ERROR] middlewares 2184 36888 Error: On.Art error
2022-04-07 14:23:07,091 [WARNING] middlewares 2184 36888 Warning: On.Art error
2022-04-07 14:23:07,123 [CRITICAL] middlewares 2184 36296 Critical: On.Art error
2022-04-07 14:23:07,123 [ERROR] middlewares 2184 36296 Error: On.Art error
2022-04-07 14:23:07,123 [WARNING] middlewares 2184 36296 Warning: On.Art error
